total_patients,avg_waiting_time,median_waiting_time,max_waiting_time,avg_los,median_los,target_compliance,level_1_count,level_1_avg_wait,level_1_median_wait,level_1_max_wait,level_1_target_compliance,level_2_count,level_2_avg_wait,level_2_median_wait,level_2_max_wait,level_2_target_compliance,level_3_count,level_3_avg_wait,level_3_median_wait,level_3_max_wait,level_3_target_compliance,level_4_count,level_4_avg_wait,level_4_median_wait,level_4_max_wait,level_4_target_compliance,level_5_count,level_5_avg_wait,level_5_median_wait,level_5_max_wait,level_5_target_compliance,strategy,seed,replication
59,99.86713797416725,87.66325151960686,147.9932123025569,116.85910096114021,117.73980999016595,40.67796610169492,2,90.00063787154215,90.00063787154215,104.51087041214151,0.0,8,90.90025931532051,85.15305004939017,135.34110577822383,0.0,15,96.24588184697996,87.66325151960686,144.21790935517933,0.0,21,111.28496946201358,118.40420823518946,147.9932123025569,52.38095238095239,13,92.63732336947967,85.78365014187159,133.2855381153824,100.0,FIFO,52,11
54,74.38148059382917,82.64641896544425,166.32616521271052,95.0174155197946,108.42444099762578,50.0,3,68.9135939235694,81.87681704494,107.20866172739818,0.0,10,82.59359404084316,93.60555121474854,151.13865785461542,20.0,13,84.38732419503413,110.37613840805892,152.35438078476432,30.76923076923077,19,79.68997604025863,88.93991560833544,166.26708491579626,63.1578947368421,9,41.41983006525307,6.9903113926175,166.32616521271052,100.0,FIFO,53,12
58,70.907025150838,82.38554193900592,115.45750980831559,89.94150083774812,97.04282561169184,51.724137931034484,5,52.90311050572733,38.48099392127739,104.2662138938953,0.0,12,71.64264752079231,83.47554852474542,99.77882347742792,0.0,16,66.95454716737945,73.27113111106006,115.10136739626881,31.25,16,71.38729045779016,73.6907520730699,115.36052566755183,100.0,9,86.10119266308288,90.88149920364299,115.45750980831559,100.0,FIFO,54,13
60,59.24718323798901,58.0048813878488,97.81357995030902,77.39153420084364,76.69052801864655,66.66666666666666,3,57.24176965107731,56.45492575439977,64.83405909262723,0.0,8,53.57194413246016,53.64248281638905,94.38163654115687,0.0,17,62.09852199168721,62.7633252206475,81.72372258417329,47.05882352941176,25,57.499210090717064,54.498921408956676,97.81357995030902,100.0,7,65.9107151628313,67.1775674952429,91.95911508753562,100.0,FIFO,55,14
60,50.79645773752045,57.199948476388556,103.72809074619107,69.70864643469119,79.67451694861944,71.66666666666667,2,54.63251923581326,54.63251923581326,74.54788423812528,0.0,3,77.84451020251055,76.23650361690369,97.87228700218776,0.0,26,50.5735143599929,58.571313718665124,97.66690807283368,53.84615384615385,20,46.79767997139974,43.61979231400856,103.72809074619107,100.0,9,50.45821359825089,56.71253856336597,98.41955406239674,100.0,FIFO,56,15
58,48.18984555588768,45.231951200357,108.2519635865358,67.7142649054912,67.50750295081666,67.24137931034483,1,103.80295242931271,103.80295242931271,103.80295242931271,0.0,13,46.28705450298356,39.24768661306126,103.19046645931081,7.6923076923076925,18,46.78283054369631,43.50343810695634,108.2519635865358,66.66666666666666,15,47.09824468016454,51.13824477837551,102.81913090487132,100.0,11,49.173796480398636,39.792166404564284,101.71783529305549,100.0,FIFO,57,16
61,55.25920605010837,65.50440582362467,116.13225413843674,73.60415306379353,78.18822855850186,73.77049180327869,1,103.67619810796253,103.67619810796253,103.67619810796253,0.0,11,49.07331156049052,65.69099292819806,84.18316688303713,18.181818181818183,17,42.913033713636395,46.42709801106679,83.92990338357305,64.70588235294117,17,58.29232168371122,67.31331962446697,112.67842588469483,100.0,15,67.12252680188952,69.70305742783546,116.13225413843674,100.0,FIFO,58,17
50,95.31022993911034,87.50507444188537,174.69223884637051,117.40909951189126,118.28214602818198,46.0,6,86.93991014755436,82.72628784388135,129.279615859341,0.0,7,107.83469380648022,131.3573695497407,157.54616207372584,0.0,13,92.81170280699357,62.47362751486361,173.78983344674222,38.46153846153847,15,95.36263402454931,114.49413869862542,166.48246828902688,60.0,9,94.67083695174155,80.33784211364988,174.69223884637051,100.0,FIFO,59,18
47,172.7025287607499,176.3988063621,214.2169545239443,191.16152439014695,189.47759806839989,17.02127659574468,0,0.0,0.0,0.0,0.0,13,167.0423849802754,172.3675490610564,207.85279105675718,0.0,3,187.4100936246125,189.69397284531982,201.19437958439704,0.0,19,170.12030251779288,172.8921057622729,214.2169545239443,10.526315789473683,12,179.24598485831356,179.75641123029268,208.37879983367608,50.0,FIFO,60,19
58,69.14279583514066,73.97443488688452,111.07574390484365,88.85321788161511,94.33464643024286,53.44827586206896,3,55.02943213816675,51.81614784973564,82.20790908110013,0.0,9,76.32307497273015,77.90979150936462,107.21062169537021,0.0,22,68.35306476970524,74.89985467775998,107.41180223807373,31.818181818181817,18,65.6192651784678,71.39601977864936,104.41684406903295,100.0,6,78.8953315205252,95.34949669507479,111.07574390484365,100.0,FIFO,61,20
